time,power
7848,4274.104
7849,4274.104
7850,4274.104
7851,4274.104
7852,5273.112
7853,4274.104
7854,4274.104
7855,4274.104
7856,4274.104
7857,4274.104
7858,4274.104
7859,3920.972
7860,3920.972
7861,3920.972
7862,3920.972
7863,2319.62
7864,519.17
7865,751.034
7866,678.766
7867,1651.188
7868,642.399
7869,638.801
7870,637.477
7871,456.322
7872,456.143
7873,456.077
7874,456.053
7875,456.044
7876,217.813
7877,217.812
7878,217.811
7879,100.274
7880,100.274
7881,100.274
7882,1099.282
7883,100.274
7884,100.274
7885,100.274
7886,100.274
7887,100.274
7888,100.274
7889,100.274
7890,100.274
7891,100.274
7892,100.274
7893,100.274
7894,100.274
7895,100.274
7896,100.274
7897,1099.282
7898,100.274
7899,100.274
7900,100.274
7901,100.274
7902,371.166
7903,329.515
7904,314.192
7905,308.555
7906,306.481
7907,305.719
7908,305.438
7909,305.335
7910,305.297
7911,305.283
7912,1304.286
7913,305.276
7914,479.564
7915,445.721
7916,433.272
7917,428.691
7918,427.007
7919,426.387
7920,426.159
7921,426.075
7922,426.044
7923,426.033
7924,426.028
7925,426.027
7926,426.026
7927,1425.034
7928,426.026
7929,426.026
7930,100.274
7931,100.274
7932,100.274
7933,100.274
7934,100.274
7935,100.274
7936,100.274
7937,100.274
7938,100.274
7939,100.274
7940,100.274
7941,100.274
7942,1099.282
7943,100.274
7944,100.274
7945,100.274
7946,100.274
7947,100.274
7948,100.274
7949,100.274
7950,100.274
7951,100.274
7952,100.274
7953,100.274
7954,100.274
7955,100.274
7956,100.274
7957,1099.282
7958,100.274
7959,100.274
7960,100.274
7961,100.274
7962,100.274
7963,100.274
7964,100.274
7965,100.274
7966,100.274
7967,100.274
7968,320.261
7969,258.177
7970,235.338
7971,226.936
7972,1222.853
7973,222.708
7974,222.289
7975,222.135
7976,222.079
7977,222.058
7978,222.05
7979,222.047
7980,222.046
7981,222.046
7982,222.046
7983,100.274
7984,100.274
7985,100.274
7986,100.274
7987,1099.282
7988,100.274
7989,100.274
7990,100.274
7991,100.274
7992,100.274
7993,100.274
7994,100.274
7995,100.274
7996,100.274
7997,100.274
7998,100.274
7999,100.274
8000,100.274
8001,339.638
8002,1319.94
8003,314.05
8004,311.519
8005,310.587
8006,310.245
8007,310.119
8008,310.072
8009,310.055
8010,310.049
8011,310.047
8012,310.046
8013,310.045
8014,310.045
8015,310.045
8016,310.045
8017,1309.053
8018,310.045
8019,547.18
8020,472.637
8021,445.214
8022,435.126
8023,431.414
8024,430.049
8025,429.547
8026,429.362
8027,429.294
8028,429.269
8029,429.26
8030,429.256
8031,429.255
8032,1428.263
8033,219.483
8034,219.483
8035,100.274
8036,100.274
8037,100.274
8038,100.274
8039,100.274
8040,100.274
8041,100.274
8042,100.274
8043,100.274
8044,100.274
8045,100.274
8046,100.274
8047,1099.282
8048,100.274
8049,100.274
8050,100.274
8051,100.274
8052,100.274
8053,100.274
8054,100.274
8055,100.274
8056,100.274
8057,100.274
8058,100.274
8059,100.274
8060,100.274
8061,100.274
8062,1099.282
8063,1096.443
8064,1096.443
8065,1266.107
8066,1235.851
8067,1373.704
8068,373.44
8069,371.934
8070,371.38
8071,371.176
8072,2222.328
8073,2222.3
8074,2222.29
8075,2222.286
8076,2222.285
8077,2222.284
8078,2100.484
8079,2100.484
8080,2100.484
8081,3580.704
8082,3580.704
8083,4585.064
8084,3580.704
8085,3580.704
8086,2100.484
8087,2100.484
8088,2100.484
8089,2100.484
8090,248.301
8091,248.301
8092,248.301
8093,248.301
8094,248.301
8095,248.301
8096,248.301
8097,248.301
8098,248.301
8099,1251.7331
8100,247.3731
8101,247.3731
8102,247.3731
8103,247.3731
8104,588.7451
8105,504.3741
8106,473.3351
8107,461.9171
8108,508.0081
8109,506.4631
8110,2475.9691
8111,2434.9761
8112,2419.8961
8113,2414.3481
8114,2412.3081
8115,1630.4471
8116,625.8111
8117,625.7091
8118,625.6721
8119,625.6581
8120,625.6531
8121,625.6511
8122,625.6501
8123,427.3311
8124,427.3311
8125,307.2451
8126,307.2451
8127,307.2451
8128,307.2451
8129,307.2451
8130,307.2451
8131,1311.6051
8132,307.2451
8133,99.3461
8134,99.3461
8135,99.3461
8136,99.3461
8137,99.3461
